"N"	"Dose"	"Strain"	"Line"	"SUBJECT.NAME"	"Sex"	"ID"	"Age"	"Weight"	"SpleenIndex"	"Log10.CFUs.g.Spleen"	"Log10.CFUs.g.Liver"	"Batch"	"Exp"	"Date"	"B6"	"S.129"
"174"	17	997	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	165890	8	23.3	0.59	5.51	3.88	"N"	17	20151113	6.86	5.34666666666667
"175"	18	997	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	165891	8	24.5	0.7	5.09	3.68	"N"	17	20151113	6.86	5.34666666666667
"176"	19	997	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	98051	10	17.8	1.03	7.12	5.03	"N"	17	20151113	6.86	5.34666666666667
"177"	20	997	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	102648	8	16.4	0.82	6.58	4.24	"N"	17	20151113	6.86	5.34666666666667
"178"	21	997	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	102649	8	15.8	0.97	6.88	4.68	"N"	17	20151113	6.86	5.34666666666667
"179"	11	1093	"CC049/TauUnc"	"CC049"	"IL-16296"	1	171150	15	31.44	0.54	5.23	3.73	"Q"	20	20160219	5.95	4.38
"180"	12	1093	"CC055/TauUnc"	"CC055"	"IL-16680"	1	173836	13	26.32	0.7	5.38	4.14	"Q"	20	20160219	5.95	4.38
"181"	13	1093	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	186885	8	23.56	0.62	4.56	3.22	"Q"	20	20160219	5.95	4.38
"182"	14	1093	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	186886	8	23.46	0.51	4.2	3.34	"Q"	20	20160219	5.95	4.38
"183"	15	1093	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	1	109481	13	27.2	0.72	5.84	4.02	"Q"	20	20160219	5.95	4.38
"184"	16	1093	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	1	109482	13	27.63	0.76	6.06	4.51	"Q"	20	20160219	5.95	4.38
"187"	9	1084	"CC055/TauUnc"	"CC055"	"IL-16680"	1	191031	8	25.99	0.76	5.64	4.05	"R"	22	20160325	6.46333333333333	5.26
"188"	10	1084	"CC055/TauUnc"	"CC055"	"IL-16680"	1	191032	8	25.15	0.69	5.23	3.72	"R"	22	20160325	6.46333333333333	5.26
"189"	11	1084	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	1	196092	8	25.97	0.56	6.33	4.3	"R"	22	20160325	6.46333333333333	5.26
"190"	12	1084	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	1	196093	8	26.41	0.55	6.44	4.44	"R"	22	20160325	6.46333333333333	5.26
"191"	13	1084	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	1	196094	8	25.14	0.6	6.62	4.64	"R"	22	20160325	6.46333333333333	5.26
"192"	14	1084	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	196097	8	24.05	0.84	5.28	3.64	"R"	22	20160325	6.46333333333333	5.26
"193"	15	1084	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	196098	8	24.27	0.86	5.24	3.38	"R"	22	20160325	6.46333333333333	5.26
"194"	16	1084	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	196099	8	20.08	0.97	5.26	3.76	"R"	22	20160325	6.46333333333333	5.26
"195"	1	1010	"CC001/Unc"	"CC001"	"OR13140"	1	195451	8	24.6	0.49	5.62	3.8	"S"	24	20160416	6.58666666666667	4.58
"196"	2	1010	"CC001/Unc"	"CC001"	"OR13140"	0	197201	7	16.9	0.6	4.91	3.59	"S"	24	20160416	6.58666666666667	4.58
"197"	3	1010	"CC001/Unc"	"CC001"	"OR13140"	0	197202	7	14.8	0.45	4.04	3.12	"S"	24	20160416	6.58666666666667	4.58
"198"	5	1010	"CC004/TauUnc"	"CC004"	"IL-16188"	0	198607	6	21.7	0.83	5.06	3.83	"S"	24	20160416	6.58666666666667	4.58
"199"	6	1010	"CC004/TauUnc"	"CC004"	"IL-16188"	0	198608	6	19.8	0.78	4.75	3.59	"S"	24	20160416	6.58666666666667	4.58
"200"	15	1010	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	1	199341	9	25.3	0.84	6.29	4.6	"S"	24	20160416	6.58666666666667	4.58
"201"	16	1010	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	1	199342	9	24.6	0.81	7.47	5.08	"S"	24	20160416	6.58666666666667	4.58
"202"	17	1010	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	1	199343	9	27.1	0.69	6	4.2	"S"	24	20160416	6.58666666666667	4.58
"203"	18	1010	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	199326	9	23	0.51	4.93	3.07	"S"	24	20160416	6.58666666666667	4.58
"204"	19	1010	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	199327	9	24.8	0.6	4.26	3.38	"S"	24	20160416	6.58666666666667	4.58
"205"	20	1010	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	199328	9	23.9	0.58	4.55	3.09	"S"	24	20160416	6.58666666666667	4.58
"206"	1	972	"CC005"	"CC005"	"IL-16211"	0	110955	70	24.52	0.74	5.45	3.89	"T"	28	20160606	6.34	5.04
"207"	2	972	"CC005"	"CC005"	"IL-16211"	0	140477	51	21.33	0.74	4.64	3.34	"T"	28	20160606	6.34	5.04
"208"	3	972	"CC009"	"CC009"	"OR5489"	0	197494	13	20.48	0.94	5.61	4.21	"T"	28	20160606	6.34	5.04
"209"	4	972	"CC027"	"CC027"	"AU8027"	0	206982	8	17.56	0.81	5.34	3.96	"T"	28	20160606	6.34	5.04
"210"	5	972	"CC035"	"CC035"	"OR5035"	1	206975	8	24.5	0.83	5.1	3.22	"T"	28	20160606	6.34	5.04
"211"	6	972	"CC035"	"CC035"	"OR5035"	1	206976	8	23.4	0.9	5.17	3.58	"T"	28	20160606	6.34	5.04
"212"	7	972	"CC061"	"CC061"	"AU8048"	0	210198	6	13.83	0.7	5.71	3.35	"T"	28	20160606	6.34	5.04
"213"	8	972	"CC065"	"CC065"	"OR5119"	0	142939	60	21.69	0.87	4.85	3.44	"T"	28	20160606	6.34	5.04
"214"	9	972	"CC065"	"CC065"	"OR5119"	0	142940	60	26.01	0.73	5.05	3.71	"T"	28	20160606	6.34	5.04
"215"	10	972	"CC071"	"CC071"	"IL-16785"	1	195450	14	23.06	0.62	4.79	4.01	"T"	28	20160606	6.34	5.04
"217"	12	972	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	207381	8	17.08	0.91	6.34	4.39	"T"	28	20160606	6.34	5.04
"219"	14	972	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	213648	7	22.43	0.71	5.03	3.38	"T"	28	20160606	6.34	5.04
"220"	15	972	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	213649	7	21.75	0.59	4.72	3.2	"T"	28	20160606	6.34	5.04
"221"	16	972	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	213650	7	21.84	0.56	5.37	3.52	"T"	28	20160606	6.34	5.04
"222"	1	1339	" CC017/Unc"	"CC017"	"OR3032"	1	215366	10	24.9	0.8	5.54	3.75	"U"	30	20160728	6.215	4.79
"223"	2	1339	" CC027/Unc"	"CC027"	"AU8027"	1	213245	11	19.28	0.82	5.45	4	"U"	30	20160728	6.215	4.79
"224"	3	1339	" CC027/Unc"	"CC027"	"AU8027"	1	213246	11	23.5	0.83	5.43	4.04	"U"	30	20160728	6.215	4.79
"225"	4	1339	" CC061/GeniUnc"	"CC061"	"AU8048"	1	213320	11	21.5	0.76	5.61	3.52	"U"	30	20160728	6.215	4.79
"226"	5	1339	" CC061/GeniUnc"	"CC061"	"AU8048"	1	213321	11	20.3	0.77	5.49	3.59	"U"	30	20160728	6.215	4.79
"227"	6	1339	" CC061/GeniUnc"	"CC061"	"AU8048"	0	213324	10	17.94	1.03	5.13	3.23	"U"	30	20160728	6.215	4.79
"228"	7	1339	" CC061/GeniUnc"	"CC061"	"AU8048"	0	213325	10	20.8	0.85	5.45	3.21	"U"	30	20160728	6.215	4.79
"229"	8	1339	" C57BL/6J"	"C57BL/6J"	"C57BL/6J"	1	221986	8	23	1.03	6.32	4.67	"U"	30	20160728	6.215	4.79
"230"	10	1339	" C57BL/6J"	"C57BL/6J"	"C57BL/6J"	1	221988	8	21.9	0.8	6.11	4.53	"U"	30	20160728	6.215	4.79
"231"	11	1339	"129S2/SvPasCrl(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	221991	8	27.8	0.7	4.82	3.47	"U"	30	20160728	6.215	4.79
"232"	12	1339	"129S2/SvPasCrl(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	221992	8	25.3	0.74	4.81	3.47	"U"	30	20160728	6.215	4.79
"233"	13	1339	"129S2/SvPasCrl(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	221993	8	27.6	0.65	4.74	3.38	"U"	30	20160728	6.215	4.79
