"N"	"Dose"	"Strain"	"Line"	"SUBJECT.NAME"	"Sex"	"ID"	"Age"	"Weight"	"SpleenIndex"	"Log10.CFUs.g.Spleen"	"Log10.CFUs.g.Liver"	"Batch"	"Exp"	"Date"	"B6"	"S.129"
"40"	15	840	"CC041 (IL16441 )"	"CC041"	"IL-16441"	1	90125	9	25.4	0.84	5.21	3.7	"B"	2	20141120	6.645	5.585
"41"	16	840	"CC041 (IL16441 )"	"CC041"	"IL-16441"	0	90126	9	25.1	0.77	5.34	3.75	"B"	2	20141120	6.645	5.585
"42"	18	840	"CC041 (IL16441 )"	"CC041"	"IL-16441"	0	90128	9	20.9	0.82	5.24	3.9	"B"	2	20141120	6.645	5.585
"43"	20	840	"CC002/Unc (OR15156)"	"CC002"	"OR15156"	1	90170	9	24.9	0.75	5.66	4.02	"B"	2	20141120	6.645	5.585
"44"	21	840	"CC002/Unc (OR15156)"	"CC002"	"OR15156"	1	90171	9	27.7	0.6	5.26	3.19	"B"	2	20141120	6.645	5.585
"45"	22	840	"CC002/Unc (OR15156)"	"CC002"	"OR15156"	1	90172	9	28.7	0.62	4.9	3.93	"B"	2	20141120	6.645	5.585
"46"	23	840	"CC002/Unc (OR15156)"	"CC002"	"OR15156"	1	90173	9	26.1	0.62	5.16	3.3	"B"	2	20141120	6.645	5.585
"47"	24	840	"CC002/Unc (OR15156)"	"CC002"	"OR15156"	0	90174	9	24.3	0.76	5.28	3.12	"B"	2	20141120	6.645	5.585
"48"	25	840	"CC002/Unc (OR15156)"	"CC002"	"OR15156"	0	90175	9	23.7	0.68	5.45	3.49	"B"	2	20141120	6.645	5.585
"49"	26	840	"CC037/TauUnc (IL16072)"	"CC037"	"IL-16072"	1	90258	8	23.3	0.55	5.73	4.41	"B"	2	20141120	6.645	5.585
"50"	27	840	"CC037/TauUnc (IL16072)"	"CC037"	"IL-16072"	1	90259	8	27.4	0.66	5.68	4.28	"B"	2	20141120	6.645	5.585
"51"	28	840	"CC037/TauUnc (IL16072)"	"CC037"	"IL-16072"	1	90260	8	22.2	0.6	5.97	4.33	"B"	2	20141120	6.645	5.585
"52"	30	840	"CC037/TauUnc (IL16072)"	"CC037"	"IL-16072"	0	90262	8	19	0.65	5.68	4.08	"B"	2	20141120	6.645	5.585
"53"	31	840	"CC037/TauUnc (IL16072)"	"CC037"	"IL-16072"	0	90263	8	22	0.67	5.97	4.25	"B"	2	20141120	6.645	5.585
"54"	32	840	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	NA	10	17.3	1.18	6.53	4.87	"B"	2	20141120	6.645	5.585
"55"	33	840	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	NA	10	17.7	0.95	6.76	4.82	"B"	2	20141120	6.645	5.585
"56"	35	840	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	NA	10	18.14	0.7	5.68	3.95	"B"	2	20141120	6.645	5.585
"57"	37	840	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	NA	10	22	0.64	5.49	3.69	"B"	2	20141120	6.645	5.585
"58"	1	NA	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	1	90248	10	27.8	0.6	6.2	4.76	"C"	3	20141204	8.10333333333333	6.03
"59"	2	NA	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	1	90249	10	28.5	0.68	6.88	5.18	"C"	3	20141204	8.10333333333333	6.03
"60"	3	NA	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	1	90250	10	27.1	0.79	6.26	4.91	"C"	3	20141204	8.10333333333333	6.03
"61"	4	NA	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	1	90246	10	28.5	0.53	5.75	5.94	"C"	3	20141204	8.10333333333333	6.03
"62"	5	NA	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	1	90247	10	27.8	0.57	6.07	5.58	"C"	3	20141204	8.10333333333333	6.03
"63"	6	NA	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	0	90254	10	25	0.6	6.09	4.5	"C"	3	20141204	8.10333333333333	6.03
"64"	7	NA	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	0	90255	10	18.1	0.71	6.02	4.4	"C"	3	20141204	8.10333333333333	6.03
"65"	8	NA	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	0	90256	10	20.5	0.73	5.51	4.4	"C"	3	20141204	8.10333333333333	6.03
"66"	9	NA	"CC039/Unc(OR15155)"	"CC039"	"OR15155"	1	90270	10	21.6	0.68	6.17	5.36	"C"	3	20141204	8.10333333333333	6.03
"67"	10	NA	"CC039/Unc(OR15155)"	"CC039"	"OR15155"	1	90271	10	19.4	0.6	6.73	6.52	"C"	3	20141204	8.10333333333333	6.03
"68"	11	NA	"CC039/Unc(OR15155)"	"CC039"	"OR15155"	0	90272	10	19	0.76	6.87	4.84	"C"	3	20141204	8.10333333333333	6.03
"75"	18	NA	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	0	96162	8	18.2	0.94	5.71	4.84	"C"	3	20141204	8.10333333333333	6.03
"76"	19	NA	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	0	96163	8	20.9	0.79	6.18	4.5	"C"	3	20141204	8.10333333333333	6.03
"77"	20	NA	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	0	96164	8	22	0.64	6.2	4.78	"C"	3	20141204	8.10333333333333	6.03
"78"	21	NA	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	98431	9	16.9	1.22	9	7.35	"C"	3	20141204	8.10333333333333	6.03
"79"	22	NA	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	98432	9	16.5	1.18	8.67	6.69	"C"	3	20141204	8.10333333333333	6.03
"80"	23	NA	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	98433	9	19.3	1.18	6.64	5.1	"C"	3	20141204	8.10333333333333	6.03
"81"	1	862	"CC059/TauUnc(IL-16012)"	"CC059"	"IL-16012"	1	95046	11	27	1	6	4.62	"D"	4	20150109	6.82	5.07333333333333
"82"	2	862	"CC059/TauUnc(IL-16012)"	"CC059"	"IL-16012"	1	95047	11	27.1	0.9	5.35	4.16	"D"	4	20150109	6.82	5.07333333333333
"83"	3	862	"CC059/TauUnc(IL-16012)"	"CC059"	"IL-16012"	1	95048	11	27	0.84	4.57	3.46	"D"	4	20150109	6.82	5.07333333333333
"84"	4	862	"CC059/TauUnc(IL-16012)"	"CC059"	"IL-16012"	0	95050	11	21.7	0.98	5.79	4.24	"D"	4	20150109	6.82	5.07333333333333
"85"	5	862	"CC059/TauUnc(IL-16012)"	"CC059"	"IL-16012"	0	95051	11	22.8	1.09	5.5	3.86	"D"	4	20150109	6.82	5.07333333333333
"86"	6	862	"CC059/TauUnc(IL-16012)"	"CC059"	"IL-16012"	0	95052	11	23.6	1.01	5.46	4.16	"D"	4	20150109	6.82	5.07333333333333
"87"	7	862	"CC040/TauUnc(IL-16557)"	"CC040"	"IL-16557"	1	96275	9	34.2	0.64	5.15	4.32	"D"	4	20150109	6.82	5.07333333333333
"88"	8	862	"CC040/TauUnc(IL-16557)"	"CC040"	"IL-16557"	1	96276	9	45	0.6	5.93	4.38	"D"	4	20150109	6.82	5.07333333333333
"89"	9	862	"CC040/TauUnc(IL-16557)"	"CC040"	"IL-16557"	1	96282	9	30	0.52	5.73	4.12	"D"	4	20150109	6.82	5.07333333333333
"90"	10	862	"CC040/TauUnc(IL-16557)"	"CC040"	"IL-16557"	0	96277	9	29.8	0.66	5.89	4.28	"D"	4	20150109	6.82	5.07333333333333
"91"	11	862	"CC040/TauUnc(IL-16557)"	"CC040"	"IL-16557"	0	96283	9	27.3	0.66	5.8	4.06	"D"	4	20150109	6.82	5.07333333333333
"92"	12	862	"CC040/TauUnc(IL-16557)"	"CC040"	"IL-16557"	0	96270	9	28.1	0.75	5.82	3.88	"D"	4	20150109	6.82	5.07333333333333
"93"	13	862	"CC068/TauUnc(IL-16768)"	"CC068"	"IL-16768"	1	95055	11	25	0.75	5.42	3.9	"D"	4	20150109	6.82	5.07333333333333
"94"	14	862	"CC068/TauUnc(IL-16768)"	"CC068"	"IL-16768"	1	95056	11	24.1	0.79	5.74	3.95	"D"	4	20150109	6.82	5.07333333333333
"95"	15	862	"CC068/TauUnc(IL-16768)"	"CC068"	"IL-16768"	1	95057	11	24.7	0.83	5.4	3.51	"D"	4	20150109	6.82	5.07333333333333
"96"	16	862	"CC068/TauUnc(IL-16768)"	"CC068"	"IL-16768"	0	95060	11	21	1.05	5.79	3.97	"D"	4	20150109	6.82	5.07333333333333
"97"	17	862	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	103504	10	29.6	0.61	5.18	3.92	"D"	4	20150109	6.82	5.07333333333333
"98"	18	862	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	103505	10	26.8	0.86	5.22	3.91	"D"	4	20150109	6.82	5.07333333333333
"99"	19	862	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	103506	11	29.9	0.68	4.82	3.65	"D"	4	20150109	6.82	5.07333333333333
"100"	20	862	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	103498	16	20.4	1.04	6.71	4.91	"D"	4	20150109	6.82	5.07333333333333
"101"	21	862	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	103499	16	18.9	0.98	6.65	4.75	"D"	4	20150109	6.82	5.07333333333333
"102"	22	862	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	103500	16	21.6	1.01	7.1	5.27	"D"	4	20150109	6.82	5.07333333333333
"103"	1	1208	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	1	NA	9	26.4	0.55	5.28	4.15	"E"	6	20150326	7.02	5.20333333333333
"104"	2	1208	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	1	NA	9	27.4	0.51	5.64	3.67	"E"	6	20150326	7.02	5.20333333333333
"105"	3	1208	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	1	NA	11	26.8	0.61	5.17	4.03	"E"	6	20150326	7.02	5.20333333333333
"106"	4	1208	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	0	NA	11	19.8	0.55	5.2	3.63	"E"	6	20150326	7.02	5.20333333333333
"107"	5	1208	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	0	NA	11	20.7	0.66	5.59	3.94	"E"	6	20150326	7.02	5.20333333333333
"108"	6	1208	"CC007/Unc(OR13421)"	"CC007"	"OR13421"	0	NA	11	17.9	0.63	5.16	3.79	"E"	6	20150326	7.02	5.20333333333333
"109"	7	1208	"CC006/TauUnc(IL-16750)"	"CC006"	"IL-16750"	0	NA	11	20.5	0.88	5.86	4.19	"E"	6	20150326	7.02	5.20333333333333
"110"	8	1208	"CC006/TauUnc(IL-16750)"	"CC006"	"IL-16750"	0	NA	11	19.6	0.98	6.2	4.77	"E"	6	20150326	7.02	5.20333333333333
